43 43
(16, 3, 1.5) (26, 3, 1.5) (21, 3, 1.5) 
(16, 39, -1.5) (26, 39, -1.5) (21, 39, -1.5) 
WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA IA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO IA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO IA WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA WA WA WA WA WA WA WA WA WA WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO B1 NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA WA WA WA WA WA WA WA WA WA WA NO NO NO NO NO NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 NO NO NO NO NO NO NO NO NO NO WA 
WA NO NO NO NO NO NO NO NO NO NO O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 NO NO NO NO NO NO NO NO NO NO WA 
WA IH NO NO NO NO NO NO NO NO NO O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 O1 NO NO NO NO NO NO NO NO NO IH WA 
WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA 
